,age,time_since_last_disturbance,last_disturbance_type,identifier,timestep,area,Species
6466,30,1,2,8,150,3.637978807091713e-12,CF
6467,29,2,2,9,150,3.637978807091713e-12,CF
6468,30,1,2,10,150,3.637978807091713e-12,CF
6469,29,2,2,11,150,1.0913936421275137e-11,CF
6470,30,3,2,12,150,3.637978807091713e-12,CF
6471,29,2,2,13,150,7.275957614183426e-12,CF
6472,30,1,2,14,150,3.637978807091713e-12,CF
6473,29,2,2,15,150,3.637978807091713e-12,CF
6474,30,1,2,16,150,1.0913936421275139e-11,CF
6475,29,2,2,17,150,1.4551915228366852e-11,CF
6476,30,2,2,18,150,3.637978807091713e-12,CF
6477,29,2,2,19,150,1.4551915228366852e-11,CF
6478,29,2,2,20,150,3.637978807091713e-12,CF
6479,28,2,2,21,150,3.637978807091713e-12,CF
6480,30,1,2,22,150,7.275957614183426e-12,CF
6481,29,2,2,23,150,7.275957614183426e-12,CF
6482,30,1,2,24,150,1.4551915228366852e-11,CF
6483,29,2,2,25,150,3.637978807091713e-12,CF
6484,30,1,2,26,150,1.8189894035458565e-11,CF
6485,28,2,2,27,150,3.637978807091713e-12,CF
6486,30,1,2,28,150,4.552358490173006e-12,CF
6487,29,2,2,29,150,305.99999999997453,CF
6488,30,2,2,30,150,1.4551915228366852e-11,CF
6489,30,1,2,31,150,3.2741809263825417e-11,CF
6490,29,1,2,32,150,305.99999999996,CF
6491,30,1,2,33,150,4.409361764601273e-12,CF
6492,30,2,2,34,150,1.0550138540565968e-10,CF
6493,30,2,2,35,150,3.974820472762943e-12,CF
6494,29,1,2,36,150,9.822542779147625e-11,CF
6495,29,1,2,37,150,3.637978807091713e-12,CF
6496,29,1,2,38,150,305.9999999999953,CF
6497,30,2,2,39,150,3.635092227227601e-12,CF
6498,29,1,2,40,150,3.637978807091713e-12,CF
6499,30,2,2,41,150,305.9999999999966,CF
6500,30,2,2,42,150,7.270184454455116e-12,CF
6501,29,1,2,43,150,305.9999999999893,CF
6502,30,2,2,44,150,305.9999999999709,CF
6503,30,2,2,45,150,305.99999999997453,CF
6504,29,1,2,46,150,305.9999999999827,CF
6505,30,2,2,47,150,306.0000000000002,CF
6506,30,1,2,48,150,4.722222612940658e-12,CF
6507,30,1,2,49,150,3.2274183325852877e-12,CF
6508,29,1,2,50,150,3.637978807091713e-12,CF
6509,30,2,2,51,150,3.6350922272276443e-12,CF
6510,29,1,2,52,150,305.99999999996845,CF
6511,29,1,2,53,150,305.99999999998624,CF
6512,30,2,2,54,150,305.9999999999782,CF
6513,29,1,2,55,150,305.9999999999817,CF
6514,28,2,2,56,150,305.999999999993,CF
6515,30,2,2,57,150,3.637978807091713e-12,CF
6516,29,1,2,58,150,305.99999999991167,CF
6517,30,2,2,59,150,305.9999999999345,CF
6518,29,1,2,60,150,305.9999999999673,CF
6519,30,1,2,61,150,1.8990808925422526e-11,CF
6520,29,1,2,62,150,1.1245004927218105e-11,CF
6521,30,3,2,63,150,1.4551915228366852e-11,CF
6522,30,3,2,64,150,3.637978807091712e-12,CF
6523,29,1,2,65,150,306.00000000000034,CF
6524,29,1,2,66,150,1.4166667838821399e-11,CF
6525,30,2,2,67,150,3.6350922272274282e-12,CF
6526,29,2,2,68,150,3.637978807091712e-12,CF
6527,30,3,2,69,150,3.637978807091713e-12,CF
6528,29,2,2,70,150,305.99999999989086,CF
6529,30,3,2,71,150,305.99999999997453,CF
6530,30,1,2,72,150,305.9999999998872,CF
6531,29,2,2,73,150,2.1844526187918356e-11,CF
6532,30,1,2,74,150,305.9999999999744,CF
6533,181,181,1,1,151,6752.6,MF
6534,201,201,1,2,151,26295.0,BL
6535,30,2,2,3,151,18328.000000000127,CF
6536,31,1,2,4,151,19246.000000000004,CF
6537,30,1,2,5,151,2.9103830456733704e-11,CF
6538,31,2,2,6,151,3.637978807091713e-12,CF
6539,30,1,2,7,151,3.637978807091713e-12,CF
6540,31,2,2,8,151,3.637978807091713e-12,CF
6541,30,1,2,9,151,3.637978807091713e-12,CF
6542,31,2,2,10,151,3.637978807091713e-12,CF
6543,30,1,2,11,151,1.0913936421275137e-11,CF
6544,31,1,2,12,151,3.637978807091713e-12,CF
6545,30,1,2,13,151,7.275957614183426e-12,CF
6546,31,2,2,14,151,3.637978807091713e-12,CF
6547,30,1,2,15,151,3.637978807091713e-12,CF
6548,31,2,2,16,151,1.0913936421275139e-11,CF
6549,30,1,2,17,151,1.4551915228366852e-11,CF
6550,31,1,2,18,151,3.637978807091713e-12,CF
6551,30,1,2,19,151,1.4551915228366852e-11,CF
6552,30,1,2,20,151,3.637978807091713e-12,CF
6553,29,1,2,21,151,3.637978807091713e-12,CF
6554,31,2,2,22,151,7.275957614183426e-12,CF
6555,30,1,2,23,151,7.275957614183426e-12,CF
6556,31,2,2,24,151,1.4551915228366852e-11,CF
6557,30,1,2,25,151,3.637978807091713e-12,CF
6558,31,2,2,26,151,1.8189894035458565e-11,CF
6559,29,1,2,27,151,3.637978807091713e-12,CF
6560,31,2,2,28,151,4.552358490173006e-12,CF
6561,30,1,2,29,151,305.99999999997453,CF
6562,31,1,2,30,151,1.4551915228366852e-11,CF
6563,31,2,2,31,151,3.2741809263825417e-11,CF
6564,30,2,2,32,151,305.99999999996,CF
6565,31,2,2,33,151,4.409361764601273e-12,CF
6566,31,1,2,34,151,1.0550138540565968e-10,CF
6567,31,1,2,35,151,3.974820472762943e-12,CF
6568,30,2,2,36,151,9.822542779147625e-11,CF
6569,30,2,2,37,151,3.637978807091713e-12,CF
6570,30,2,2,38,151,305.9999999999953,CF
6571,31,1,2,39,151,3.635092227227601e-12,CF
6572,30,2,2,40,151,3.637978807091713e-12,CF
6573,31,1,2,41,151,305.9999999999966,CF
6574,31,1,2,42,151,7.270184454455116e-12,CF
6575,30,2,2,43,151,305.9999999999893,CF
6576,31,3,2,44,151,305.9999999999709,CF
6577,31,1,2,45,151,305.99999999994543,CF
6578,30,2,2,46,151,305.9999999999827,CF
6579,31,1,2,47,151,306.0000000000002,CF
6580,31,2,2,48,151,4.722222612940658e-12,CF
6581,31,2,2,49,151,3.2274183325852877e-12,CF
6582,30,2,2,50,151,3.637978807091713e-12,CF
6583,31,1,2,51,151,3.6350922272276443e-12,CF
6584,30,2,2,52,151,305.99999999996845,CF
6585,30,2,2,53,151,305.99999999998624,CF
6586,31,1,2,54,151,305.9999999999782,CF
6587,30,2,2,55,151,305.9999999999817,CF
6588,29,1,2,56,151,305.999999999993,CF
6589,31,1,2,57,151,3.637978807091713e-12,CF
6590,30,2,2,58,151,305.99999999991167,CF
6591,31,1,2,59,151,305.9999999999345,CF
6592,30,2,2,60,151,305.9999999999673,CF
6593,31,2,2,61,151,1.8990808925422526e-11,CF
6594,30,2,2,62,151,1.1245004927218105e-11,CF
6595,31,1,2,63,151,1.4551915228366852e-11,CF
6596,31,1,2,64,151,3.637978807091712e-12,CF
6597,30,2,2,65,151,306.00000000000034,CF
6598,30,2,2,66,151,1.4166667838821399e-11,CF
6599,31,1,2,67,151,3.6350922272274282e-12,CF
6600,30,1,2,68,151,3.637978807091712e-12,CF
6601,31,1,2,69,151,3.637978807091713e-12,CF
6602,30,1,2,70,151,305.99999999989086,CF
6603,31,1,2,71,151,305.99999999997453,CF
6604,31,2,2,72,151,305.9999999998872,CF
6605,30,1,2,73,151,2.1844526187918356e-11,CF
6606,31,2,2,74,151,305.9999999999744,CF
6607,31,3,2,75,151,2.9114710642372607e-11,CF
6608,182,182,1,1,152,6752.6,MF
6609,202,202,1,2,152,26295.0,BL
6610,31,3,2,3,152,18328.000000000127,CF
6611,32,1,2,4,152,19246.000000000004,CF
6612,31,2,2,5,152,2.9103830456733704e-11,CF
6613,32,1,2,6,152,3.637978807091713e-12,CF
6614,31,2,2,7,152,3.637978807091713e-12,CF
6615,32,1,2,8,152,3.637978807091713e-12,CF
6616,31,2,2,9,152,3.637978807091713e-12,CF
6617,32,1,2,10,152,3.637978807091713e-12,CF
6618,31,2,2,11,152,1.0913936421275137e-11,CF
6619,32,1,2,12,152,3.637978807091713e-12,CF
6620,31,2,2,13,152,7.275957614183426e-12,CF
6621,32,1,2,14,152,3.637978807091713e-12,CF
6622,31,2,2,15,152,3.637978807091713e-12,CF
6623,32,1,2,16,152,1.0913936421275139e-11,CF
6624,31,2,2,17,152,1.4551915228366852e-11,CF
6625,32,1,2,18,152,3.637978807091713e-12,CF
6626,31,2,2,19,152,1.4551915228366852e-11,CF
6627,31,2,2,20,152,3.637978807091713e-12,CF
6628,30,2,2,21,152,3.637978807091713e-12,CF
6629,32,1,2,22,152,7.275957614183426e-12,CF
6630,31,2,2,23,152,7.275957614183426e-12,CF
6631,32,1,2,24,152,1.4551915228366852e-11,CF
6632,31,2,2,25,152,3.637978807091713e-12,CF
6633,32,1,2,26,152,1.8189894035458565e-11,CF
6634,30,2,2,27,152,3.637978807091713e-12,CF
6635,32,1,2,28,152,4.552358490173006e-12,CF
6636,31,2,2,29,152,305.99999999997453,CF
6637,32,1,2,30,152,1.0913936421275139e-11,CF
6638,32,1,2,31,152,3.2741809263825417e-11,CF
6639,31,3,2,32,152,305.99999999996,CF
6640,32,1,2,33,152,4.409361764601273e-12,CF
6641,32,1,2,34,152,1.0550138540565968e-10,CF
6642,32,1,2,35,152,3.974820472762943e-12,CF
6643,31,3,2,36,152,9.822542779147625e-11,CF
6644,31,3,2,37,152,3.637978807091713e-12,CF
6645,31,3,2,38,152,305.9999999999953,CF
