,identifier,timestep,area,Species
757,19,41,305.9999999999999,CF
758,20,41,305.9999999999989,CF
759,21,41,3.637978807091713e-12,CF
760,22,41,7.275957614183426e-12,CF
761,23,41,305.9999999999966,CF
762,24,41,305.99999999999596,CF
763,25,41,305.9999999999935,CF
764,26,41,305.99999999999636,CF
765,27,41,305.99999999999665,CF
766,28,41,4.552358490173006e-12,CF
767,29,41,305.9999999999887,CF
768,30,41,305.999999999989,CF
769,1,42,6752.6,MF
770,2,42,26295.0,BL
771,3,42,19246.000000000007,CF
772,4,42,19858.000000000007,CF
773,5,42,305.99999999999756,CF
774,6,42,305.9999999999967,CF
775,7,42,305.9999999999967,CF
776,8,42,305.99999999999716,CF
777,9,42,3.637978807091713e-12,CF
778,10,42,3.637978807091713e-12,CF
779,11,42,1.0913936421275137e-11,CF
780,12,42,3.637978807091713e-12,CF
781,13,42,306.0,CF
782,14,42,306.0000000000002,CF
783,15,42,3.637978807091713e-12,CF
784,16,42,1.0913936421275139e-11,CF
785,17,42,306.0000000000009,CF
786,18,42,3.637978807091713e-12,CF
787,19,42,305.9999999999999,CF
788,20,42,305.9999999999989,CF
789,21,42,3.637978807091713e-12,CF
790,22,42,7.275957614183426e-12,CF
791,23,42,305.9999999999966,CF
792,24,42,305.99999999999596,CF
793,25,42,305.9999999999935,CF
794,26,42,305.99999999999636,CF
795,27,42,305.99999999999665,CF
796,28,42,4.552358490173006e-12,CF
797,29,42,305.9999999999887,CF
798,30,42,305.999999999989,CF
799,31,42,305.99999999998545,CF
800,1,43,6752.6,MF
801,2,43,26295.0,BL
802,3,43,19246.000000000007,CF
803,4,43,19858.000000000007,CF
804,5,43,305.99999999999756,CF
805,6,43,305.9999999999967,CF
806,7,43,3.637978807091713e-12,CF
807,8,43,305.99999999999716,CF
808,9,43,3.637978807091713e-12,CF
809,10,43,3.637978807091713e-12,CF
810,11,43,1.0913936421275137e-11,CF
811,12,43,3.637978807091713e-12,CF
812,13,43,306.0,CF
813,14,43,306.0000000000002,CF
814,15,43,3.637978807091713e-12,CF
815,16,43,1.0913936421275139e-11,CF
816,17,43,306.0000000000009,CF
817,18,43,3.637978807091713e-12,CF
818,19,43,305.9999999999999,CF
819,20,43,305.9999999999989,CF
820,21,43,3.637978807091713e-12,CF
821,22,43,7.275957614183426e-12,CF
822,23,43,305.9999999999966,CF
823,24,43,305.99999999999596,CF
824,25,43,305.9999999999935,CF
825,26,43,305.99999999999636,CF
